WSI3219904,KO38E3788,KO01,2019-01-01 01:33:00,2.8
TOB7336760,OO14E0167,OO12,2019-01-01 01:37:17,2.8
LDD7262109,OO14E0167,OO06,2019-01-01 02:50:44,2.8
NSR5538511,AO11L5271,AO07,2019-01-01 05:23:27,3.1
BDG6166982,AO27P4628,AO18,2019-01-01 06:03:07,13.0
YWD3967715,MR26E3126,MR06,2019-01-01 06:09:19,2.5
THF3239181,OO26V4144,OO12,2019-01-01 06:10:58,1.25
DKZ3204266,EG00X1873,EG04,2019-01-01 07:28:00,2.8
VSD5346273,GF96B8067,EG03,2019-01-01 08:17:41,2.8
UTI9677334,AO11L5271,AO13,2019-01-01 08:52:58,3.1
UIV0991172,NE74M6592,AO16,2019-01-01 09:35:31,2.8
BIM5756381,KO64Z6868,KO08,2019-01-01 09:53:01,2.8
JVV5228001,KO95P1306,KO04,2019-01-01 10:33:02,2.2
TYV5505416,KO44J2006,KO08,2019-01-01 10:41:47,1.0
DVP9052273,GF84T8932,GF00,2019-01-01 12:23:16,3.1
RCN6097732,GF87C4626,GF00,2019-01-01 12:45:40,2.8
UPC0934127,GF96B8067,OO04,2019-01-01 16:48:58,2.5
UYS4444642,NE74M0871,NE09,2019-01-01 16:52:16,2.8
YOW7433640,MR58R4385,AO02,2019-01-01 17:18:58,2.8
JLS1333152,EG56V3913,EG08,2019-01-01 17:41:37,1.5
QGO0903208,EG36L0177,EG02,2019-01-01 18:02:15,1.25
IRK4760444,EG87C3789,EG11,2019-01-01 19:39:41,1.5
YZL7519880,EG87C3789,EG12,2019-01-01 23:13:43,1.5
XRS9245728,KO82C5500,KO06,2019-01-01 23:35:32,2.2
ADK8001607,OO58I4183,OO12,2019-01-02 00:22:08,2.8
ZLJ2429774,EG87N4472,EG07,2019-01-02 00:39:03,2.0
PFK3153908,EG87N4472,EG09,2019-01-02 01:25:17,2.0
OJF7533092,NE43B7275,NE09,2019-01-02 02:21:37,1.0
AYA2207372,EG74B6896,EG02,2019-01-02 02:42:20,2.5
SUW7443304,GF48M7092,GF00,2019-01-02 03:30:14,2.8
NQU2005152,AO13W1028,AO18,2019-01-02 04:18:02,2.8
PZE1892597,OO14E0167,OO00,2019-01-02 04:24:17,2.8
AYH8728597,MR26E3126,GF00,2019-01-02 04:28:39,13.0
XJD2966445,KO87M8492,GF00,2019-01-02 05:50:13,13.0
HVQ7237032,KO72G8546,KO00,2019-01-02 06:12:19,2.5
NHY3086874,AO49I8807,AO15,2019-01-02 07:11:25,2.0
MGU4398755,NE91T5473,NE08,2019-01-02 07:14:08,2.8
GEM5057485,OO14E0167,OO12,2019-01-02 07:28:13,2.8
FFA6207327,OO43C8099,OO07,2019-01-02 07:42:02,2.8
OLV7217348,MR39O1247,MR04,2019-01-02 08:19:10,2.0
NKM7840606,AO12K0807,OO02,2019-01-02 09:06:57,2.0
QZY0176136,OO43C8099,OO01,2019-01-02 10:20:15,2.5
LEV3798414,OO41Q9202,OO04,2019-01-02 11:04:36,2.8
XCW7548977,KO80I5938,KO07,2019-01-02 13:49:19,2.2
SSH1766507,KO53F1683,NE15,2019-01-02 14:10:27,1.0
AWB9004088,AO69I5108,AO04,2019-01-02 15:24:43,2.8
SNO1901037,AO19M3646,AO15,2019-01-02 16:40:47,13.0
OCG0520265,NE80E5551,NE02,2019-01-02 16:45:59,1.5
PZY6450746,MR39O1247,MR00,2019-01-02 19:54:27,2.0
SVP4480098,OO41Q9202,OO07,2019-01-02 19:54:46,2.8
CKM4226732,GF64H7689,GF00,2019-01-02 21:13:58,2.5
KYZ7726118,MR63V2295,MR05,2019-01-02 21:13:09,2.5
BJS5915448,AO94O1451,AO11,2019-01-02 21:36:43,1.0
ABE2129498,AO94O1451,AO14,2019-01-02 21:47:19,1.0
QYU5003410,EG36L0177,EG01,2019-01-03 00:02:07,1.25
WPS5352347,GF87C4626,GF00,2019-01-03 01:40:17,2.8
RDV6518451,EG47I2811,AO15,2019-01-03 02:39:57,2.8
WNH6218760,KO64Z6868,KO01,2019-01-03 03:04:18,2.8
RRS9227725,EG87N4472,EG05,2019-01-03 03:32:52,2.0
LJZ4625728,KO64Z6868,KO09,2019-01-03 03:41:19,2.8
VED8509398,OO49W8536,OO11,2019-01-03 04:03:49,2.8
IAQ7370002,NE74M0871,NE00,2019-01-03 04:19:58,2.8
KPT1084302,KO57Z7727,KO01,2019-01-03 06:06:53,2.5
CSJ9595952,MR39O1247,KO05,2019-01-03 06:24:02,1.5
AJB4007132,AO12K0807,AO18,2019-01-03 06:51:50,2.8
IFJ1584058,MR55V8401,MR07,2019-01-03 06:59:12,2.8
IJN5312188,KO37T8485,KO03,2019-01-03 08:35:18,1.0
UZI9045597,NE66N5124,NE01,2019-01-03 08:43:47,1.5
DKI5609758,GF85Z5553,GF00,2019-01-03 09:23:15,2.5
BJL0155721,MR56E8319,MR04,2019-01-03 09:23:48,2.8
YON4581505,GF85R2347,GF00,2019-01-03 12:20:43,3.1
JZP9177875,AO49I8807,AO04,2019-01-03 14:02:19,2.0
SSZ7103725,MR72G8045,MR00,2019-01-03 14:43:32,2.8
FPU0425557,KO44J2006,KO05,2019-01-03 15:44:38,1.0
MOS5853245,KO57Z7727,KO05,2019-01-03 16:51:52,2.5
EWR2508893,AO11L5271,AO12,2019-01-03 16:58:08,3.1
FDO3407403,KO64Z6868,KO08,2019-01-03 17:39:18,2.8
DLQ8625471,GF62J1185,GF00,2019-01-03 19:31:30,2.8
ZAG0725273,EG23G6966,EG07,2019-01-03 19:34:38,2.8
RJN3440849,NE91T5473,NE12,2019-01-03 20:37:40,2.8
BXR7588699,OO58I4183,OO05,2019-01-03 21:13:55,2.8
JZF0586381,EG36L0177,EG01,2019-01-03 22:03:07,1.25
AKJ5235405,MR63V2295,NE06,2019-01-03 22:15:26,1.5
YSK8555815,EG00X1873,EG09,2019-01-03 22:56:15,2.8
VAS7777913,KO80I5938,KO05,2019-01-03 23:10:38,2.2
OSB6924402,KO44J2006,OO01,2019-01-03 23:11:28,2.8
IKP1014708,AO18S3731,AO02,2019-01-03 23:28:11,2.8
NDS8480885,NE55G3669,NE07,2019-01-04 00:41:07,1.5
IEP5322365,AO49I8807,AO05,2019-01-04 00:46:04,2.0
LZU2500999,NE43B7275,NE09,2019-01-04 01:37:42,1.0
FTO5959048,NE66B0405,NE07,2019-01-04 02:32:19,2.8
PEO8978228,GF84T8932,GF00,2019-01-04 02:38:06,3.1
IWZ6784211,AO87S8322,AO05,2019-01-04 02:51:18,3.1
DOT0840926,OO41Q9202,OO04,2019-01-04 03:48:42,2.8
YIC2205567,OO14E0167,OO05,2019-01-04 04:43:30,2.8
JYG0256462,AO19H6549,AO17,2019-01-04 06:18:01,1.0
FZS8692226,KO38E3788,KO05,2019-01-04 08:01:52,1.0
ZIK8298699,MR57I0349,OO06,2019-01-04 08:11:41,2.5
GBM5773955,OO14E0167,OO01,2019-01-04 08:41:49,2.8
PLP9237083,OO41Q9202,OO05,2019-01-04 08:43:15,2.8
PSV9420885,MR98F8272,NE15,2019-01-04 08:56:15,2.2
OQE5431179,KO72G8546,KO06,2019-01-04 09:27:50,2.5
FRP9290882,AO94O1451,AO15,2019-01-04 09:32:44,1.0
VIG3313800,KO57Z7727,KO06,2019-01-04 15:15:11,2.5
BMV9911239,GF64H7689,GF00,2019-01-04 15:27:31,2.5
BWS1548433,EG00X1873,EG07,2019-01-04 16:03:38,2.8
DPC4921911,MR57I0349,MR06,2019-01-04 16:38:58,2.8
FAD4262737,AO87S8322,AO08,2019-01-04 16:52:52,3.1
BOS5722123,MR26E3126,MR05,2019-01-04 17:39:18,2.5
BIP4596977,MR72G8045,MR00,2019-01-04 17:45:22,2.8
IZU3260044,MR93N1400,MR03,2019-01-04 18:05:12,13.0
IOI0658573,NE55G3669,OO02,2019-01-04 19:07:26,2.0
ELI0385232,MR72G8045,MR08,2019-01-04 21:05:46,2.8
SCB3162252,OO59B1482,OO05,2019-01-04 21:05:02,2.5
XRB7777819,OO01A7197,KO08,2019-01-04 21:25:37,1.5
VNX6112928,OO26V4144,OO02,2019-01-04 21:30:59,1.0
JBK7975831,OO26V4144,OO01,2019-01-04 22:14:22,1.0
UZV6669660,NE43B7275,NE14,2019-01-04 22:41:22,1.0
AST1565987,EG52J0268,NE00,2019-01-04 23:41:52,2.8
EPU9167801,MR58R4385,MR05,2019-01-05 02:09:58,2.8
UME6300154,NE97X0282,NE14,2019-01-05 03:12:14,2.5
IZL8111210,KO53F1683,KO05,2019-01-05 03:29:12,1.25
TYT3955033,EG76E0993,AO08,2019-01-05 03:58:52,2.8
WHI1664349,NE74M0871,NE13,2019-01-05 05:13:12,2.8
XSE8654212,NE61X5911,NE15,2019-01-05 06:11:18,2.5
TXL5895242,KO80I5938,KO05,2019-01-05 06:41:38,2.2
LJC9157282,KO95P1306,KO03,2019-01-05 08:15:53,2.2
HJW5583166,MR98F8272,MR05,2019-01-05 09:36:41,1.0
OIV5602818,MR57I0349,MR02,2019-01-05 10:01:09,2.8
DKX6181104,OO58I4183,NE00,2019-01-05 11:20:37,3.1
TGM8606494,EG05B7264,EG07,2019-01-05 11:22:28,2.8
UIC7940896,EG36L0177,EG12,2019-01-05 11:28:39,1.25
PZP9995637,MR56E8319,MR08,2019-01-05 18:12:07,2.8
HOA0727154,MR56E8319,MR03,2019-01-05 19:13:01,2.8
KTK8951799,GF84T8932,GF00,2019-01-05 20:21:01,3.1
UWV9537409,AO11L5271,AO01,2019-01-05 21:22:50,3.1
GYR0258541,AO13W1028,AO13,2019-01-05 22:43:29,2.8
SDQ5556853,NE74M0871,NE03,2019-01-05 23:45:08,2.8
UDF1325536,OO01A7197,OO01,2019-01-05 23:57:22,2.8
NQV7199789,EG87N4472,EG10,2019-01-06 00:22:26,2.0
INA0533953,NE80E5551,NE05,2019-01-06 00:50:24,1.5
AZT9656066,OO49W8536,OO05,2019-01-06 01:25:25,2.8
IUO2143413,MR06V9056,MR07,2019-01-06 02:49:34,1.25
UXT7394943,EG23G6966,EG06,2019-01-06 02:58:53,2.8
LJW9984906,GF62J1185,GF00,2019-01-06 03:17:25,2.8
TPR4294291,NE91T5473,NE15,2019-01-06 03:35:34,2.8
ULN8974546,AO69I5108,AO12,2019-01-06 03:48:30,2.8
QZK4342840,MR36J6829,MR02,2019-01-06 03:55:12,3.1
XWI7097584,GF85R2347,GF00,2019-01-06 05:33:40,3.1
MXM6404031,AO49I8807,AO14,2019-01-06 07:06:38,2.0
YJU8743734,EG23G6966,EG12,2019-01-06 07:31:04,2.8
SUH5952969,OO43C8099,NE07,2019-01-06 09:34:56,1.5
WOJ6728265,MR06V9056,MR05,2019-01-06 11:37:52,1.25
PAV5608102,NE91T5473,NE08,2019-01-06 11:37:16,2.8
